16232,Cap Transport (2005) #12,12,
16248,Cap Transport (2005) #9,9,
4990,Halo Preview (2006),0,
21486,Ultimate X-Men (Spanish Language Edition) (2000) #9,9,
58634,A Year of Marvels: The Incredible (2016) #5,5,"It’s Halloween in the Marvel U! What does that mean for KATE BISHOP, A.K.A. HAWKEYE? Well, I can’t tell you here but I CAN guarantee it involves a haunted house, some witty one-liners, and a bad guy shot full of arrows  Then it’s time to give thanks for THE PUNISHER?! When an op goes south, Frank Castle finds himself in a subterranean game of cat and mouse! It’s a life or death tale that’ll satisfy more than any turkey dinner!"
37534,Magician: Apprentice Riftwar Saga (2010) #17,17,The electrifying conclusion to Raymond E. Feist's epic story! The only thing standing between Crydee and complete destruction is Princess Carline. Can she save Midkemia?
58586,The Amazing Spider-Man (2015) #19 (Veregge Black Panther 50th Anniversary Variant),19,
16241,Cap Transport (2005) #20,20,
25320,Halo Chronicles (2009) #1,1,
21479,Ultimate X-Men (Spanish Language Edition) (2000) #1,1,
21468,Ultimate Spider-Man (Spanish Language Edition) (2000) #4,4,
15094,Silver Surfer (1987),0,
15808,Ultimate Spider-Man (2000) #110 (Mark Bagley Variant),110,"""ULTIMATE KNIGHTS""
 The mind-stunning climax to the ""Ultimate Knights"" arc! The traitor revealed! The fate of the Kingpin of Crime! Daredevil's deep secret exposed! And Spidey's in the issue, too, we think. Don't miss a conclusion that will rock your world!
 32 PGS. Rated A  $2.99
 "
37502,Marvels Vol. 1 (1994) #5,5,
17486,X-Men: Phoenix - Warsong (2006),0,
16234,Cap Transport (2005) #14,14,
21461,Ultimate Spider-Man (Spanish Language Edition) (2000) #1,1,
23561,Holiday Special (1969) #1,1,
10511,Peter Parker: Spider-Man (1999) #79,79,
2088,Official Handbook of the Marvel Universe (2004) #14 (FANTASTIC FOUR),14,"At last, Marvel's First Family gets the OHOTMU treatment! This Official Handbook contains in-depth bios on the family, friends and foes of the Fantastic Four - from Annihilus to the Watcher! Plus: An all-new cover by superstar artist Tom Grummett, digitally painted by Morry Hollowell!
 48 PGS. T+ Suggested for Teens and Up  $3.99

 "
59560,Uncanny Inhumans (2015) #12 (Land Mighty Men Variant),12,
59927,Darth Vader (2015) #25 (Christopher Action Figure Black and White Variant),25,
16243,Cap Transport (2005) #4,4,
21481,Ultimate X-Men (Spanish Language Edition) (2000) #4,4,
21470,Ultimate Spider-Man (Spanish Language Edition) (2000) #6,6,
37302,Marvel Adventures Super Heroes Special (2010) #1,1,
59525,The Amazing Spider-Man (2015) #15 (Panosian Mighty Men Variant),15,
37504,Marvels Vol. 1 (1994) #7,7,
20956,Penance: Relentless (2008),0,"From the pages of CIVIL WAR: FRONT LINE and THUNDERBOLTS! Once he was a hero, now only a shell of Robbie Baldwin remains. As Penance, he begins a slow descent into madness: the most hated man in America, blamed for the disaster at Stamford, tortured by visions of his failure and obsessed with strange, seemingly meaningless numbers. A relentless pursuit begins  Collecting PENANCE: RELENTLESS #1-5.
 Rated T+  $13.99
 "
27238,Wolverine Saga (2009) #7,7,
16236,Cap Transport (2005) #16,16,
15878,Hedge Knight II: Sworn Sword (2007) #1 (Yu Variant),1,"In 2003, Dabel Brothers Productions released THE HEDGE KNIGHT and stunned the comic book world with their high quality adaptation of New York Times Best-Selling author George R. R. Martin's novella which serves as a prequel to his epic novel series, A SONG OF ICE AND FIRE. In 2004, the collected graphic novel edition of THE HEDGE KNIGHT went on to become one of the best-selling graphic novels of the year. In 2006, Marvel Comics and Dabel Brothers Production republished the book in a prestige hardcover format, much to the delight of collectors and critics alike. And in Spring 2007, the Dabel Brothers will continue the story of THE HEDGE KNIGHT by adapting the next chapter in the series: George R. R. Martin's THE SWORN SWORD.
 Featuring the return of the creative duo of Mike S. Miller and Ben Avery, THE SWORN SWORD tells the story of the adventures of Ser Duncan and his squire one year after their initial meeting at the tournament in Ashford. After traveling the land in search of the puppeteer girl Tanselle, Dunk and Egg find themselves in the charge of Ser Eustace, an aged knight who has accepted Dunk as his sworn sword. But Ser Eustace has another knight in his service who is nothing but trouble, and he will make Dunk's life far more difficult when he rashly attacks a peasant and causes grief to a local noble, the Lady Rohanne Webber. But the Lady Rohanne has problems of her own and she knows the truth about Ser Eustace and the side he took in the battle of Redgrass Field. The long-awaited sequel to THE HEDGE KNIGHT has finally arrived!
 32 PGS.  Rated T+ $2.99
 "
21474,Ultimate X-Men (Spanish Language Edition) (2000),0,
21463,Ultimate Spider-Man (Spanish Language Edition) (2000) #10,10,
323,Ant-Man (2003) #2,2,"Ant-Man digs deeper to find out who is leaking secret information that threatens our national security.
32 pgs. PARENTAL ADVISORY $2.99"
38041,X-Men (2010),0,
43092,Brilliant (2011) #7,7,"From the award-winning creators behind ULTIMATE SPIDER-MAN and AVENGERS ASSEMBLE comes the shocking creator-owned series that gives you something very different than a regular superhero comic and asks the question: How would the world react if a group of brilliant college students actually discovered the secret of superpowers? Well now, the secret is out!"
52802,THE UNITED STATES OF MURDER INC. ANNUAL 1 (2015) #1,1,
71251,Daughters of the Dragon - Marvel Digital Original (2018) #1,1,"A DOUBLE-SIZED Marvel Digital Original you don't want to miss!  MISTY KNIGHT and COLLEEN WING have stolen the shows on Marvel’s LUKE CAGE, IRON FIST and DEFENDERS on Netflix and now they have their own MDO series! This duo has been fighting crime as the Daughters of the Dragon for years but with Misty’s new job with the FBI, does this mean the two are splitzies? NOT ON YOUR LIFE! A crazy adventure that Colleen initiates puts comics’ two greatest ass-kickers on a collision course with a weird and scary side of the Marvel Universe that will have you on the edge of your seat."
71267,Iron Fist: Phantom Limb - Marvel Digital Original (2018) #1,1,"CONTAINS THE FIRST TWO CHAPTERS OF A BRAND NEW, DIGITAL-FIRST, IN-CONTINUITY SERIES! A darkness is spreading through New York – something evil that preys on those who believe in the supernatural and the occult. And when palm readers and fortune tellers start turning up dead, the situation catches the attention of Danny Rand, AKA THE IRON FIST! But this might be one paranormal problem too great for even Danny to take on alone "
69098,Mr. and Mrs. X (2018) #3,3,"LOVE & MARRIAGE PART 3! ROGUE and GAMBIT'S romantic getaway is but a faint memory as they're forced to team up with DEADPOOL to protect a dangerous and extremely valuable ""package"" when half the galaxy comes to claim it. What secrets does the package hold that the Imperial Guard and Deathbird (with an entire Shi'ar rebellion in tow!) will risk everything for? More importantly, can Rogue, Gambit, and Deadpool stop bickering long enough to win?"
62124,The Mighty Captain Marvel Vol. 1: Alien Nation (Trade Paperback),1,"Behold the mightiest, fightiest super hero there is! Captain Marvel returns to her helm as Alpha Flight commander with the world cheering her on. She's the biggest hero in the world - but has Captain Marvel become someone Carol Danvers no longer recognizes? Collects The Mighty Captan Marvel (2016) #0-4."
67704,Ant-Man & the Wasp (2018) #5,5,
67321,Cosmic Ghost Rider (2018) #3,3,
69097,Mr. and Mrs. X (2018) #2,2,"LOVE & MARRIAGE PART 2! ROGUE and GAMBIT find themselves tasked with protecting a mysterious package that everyone in the galaxy suddenly seems to want. Why does everyone want this thing and WHAT exactly is it? Perhaps more importantly, is there anything worse than Deadpool crashing your honeymoon? Yes! There is something worse! TECHNET crashing too! Man your battle stations, people   it's absolute honeymoon mayhem!"
67147,Infinity Wars (2018) #2,2,
68868,Luke Cage - Marvel Digital Original (2018) #1,1,"With Harlem in the grips of an unprecedented heat wave, the people look to their hero—the unbreakable man, Luke Cage!  But the heat wave turns out to be the least of Harlem’s worries. Someone has their sights set on the city’s 1%, and the rich and powerful are dropping dead from mysterious illnesses. It’s up to Luke Cage to stop the killer—but he’s just received a grim diagnosis of his own A DOUBLE-SIZED Marvel Digital Original you don't want to miss!"
69095,X-CLASSIFIED TPB (Trade Paperback),1,
69553,Star Wars (2015) #50,50,IN THIS ISSUE HOPE DIES. The REBEL FLEET is completed. It’s magnificent. It’s beautiful. It’s secret. But no secret is kept for long from DARTH VADER. The most epic story yet done in a STAR WARS comic begins here. Prepare to witness the Empire TRULY strike back.
67842,Ben Reilly: Scarlet Spider (2017),0,It’s Ben and Kaine vs. a pack of ravenous hellhounds as madness descends on Las Vegas! But can Kaine and Ben keep themselves from each other’s throats long enough to save the city?!
70092,Weapon X (2017) #21,21,"THE EXPLOSIVE CONCLUSION OF “TEAM WEAPON X”! What began as a team of circumstance reaches its only logical conclusion: A GRAVE! Warpath and Old Man Logan aren’t long for this world, but will Sabretooth rally the rest of the team or sign their epitaph himself?"
67320,Cosmic Ghost Rider (2018),0,"The Rider is out to change the universe for the better, starting with an idea so simple he cannot believe no one has ever done it before! But as with all things worth doing, it’s not going to be easy. For one thing: SPACE SHARKS. For another? Let’s just say it’s never good to run into Galactus during a bar fight."
